run_id,condition_order,condition_id,condition_label,ability_group,switch_cost_condition,rho,switch_cost_s,rng_seed,learning_time,reward_rate,specialization_signed_x,specialization_abs_x,switching_parameter_a
5323,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7394134649643734,-0.545671402450823,0.545671402450823,-0.1334213741353761
5324,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.8200622279035432,-1.6948765526580878,1.6948765526580878,0.14493866168437453
5325,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7891105778273356,1.0266708971921592,1.0266708971921592,-0.3118359748719638
5326,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.9407061731666169,2.6784748017302107,2.6784748017302107,-0.43663992827654174
5327,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.720761506581009,-0.3082397279043778,0.3082397279043778,0.03655903465882161
5328,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7681063508242891,-1.1534901841776533,1.1534901841776533,0.14970945307931746
5329,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7339703833547361,0.8450773720489095,0.8450773720489095,0.29761224515359985
5330,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.862975670214253,-1.7220838971387413,1.7220838971387413,-0.3483773368416605
5331,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7768302921386806,1.5454201060454429,1.5454201060454429,0.48128644318383496
5332,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.6850721230495229,0.06470375712211691,0.06470375712211691,0.7583192786276982
5333,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7016874451560697,0.5614602962876581,0.5614602962876581,0.6112850820591242
5334,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.8411855275557716,-1.4677015284026158,1.4677015284026158,-0.39875934314234923
